[2025-01-14 13:10:38] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:11:39] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:12:40] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:13:41] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:14:42] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:15:43] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:16:44] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:17:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:18:46] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:19:47] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:20:48] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:21:49] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:22:50] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:23:51] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:24:18] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:24:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:25:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:25:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:26:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:27:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:28:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:29:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:30:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 13:31:19] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
